,A8,B1,B9,C10,D2,D11,E3,F4,G5,H6
K,0.39846240755359325,0.3877799265087791,0.38793106280424744,0.398550278934461,0.3862155540385823,0.39699988384185897,0.3837936336940441,0.3913813665153928,0.3827861871245093,0.37504537390671705
Q,3.2261946383750384e+28,1.5305081503341958e+177,3.1935441854226165e+31,5.504924733509926e+133,3.0942287677475306e+42,2.59853085028258e+70,1.450433639934911e+35,5.5532473187481456e+42,7.048034966190229e+47,4.121116059144431e+40
B,0.6831987026764874,4.234494695156932,0.7856471951827333,3.2304933749414255,0.9147733207593917,1.8665514750915098,0.809547030791283,1.0387487707983725,1.0744487729334975,0.917979042213851
nu,18.91610542615396,78.48430624326522,16.997458425820128,61.266862538897534,21.07118967507563,44.04965179709654,18.331061097733517,25.321136735098353,24.10614987401875,21.020902261586215
