,A5,B6,C7,D8,E1,E9,F10,G2,G11,H3
K,0.365575890116352,0.39471564278845284,0.41156342414272773,0.3732354309818301,0.3446356070031078,0.40758933706582884,0.40937402998089784,0.3947472164042588,0.408764583534657,0.44020671720416893
Q,0.8277812710793889,1.8462916695497598,4.6962469913073466e+17,1.0066337452848133,1.62592917952744,1.2827896379073947e+17,484845647.57518566,0.9219891785063145,108079332769.72615,0.014669079120066514
B,0.2541451138174264,0.14923864003681905,0.5074875893412016,0.21538186839538784,0.2774561356788471,0.5279034675352337,0.26017832760934284,0.13850249595595365,0.3250289977522857,0.07167440931926353
nu,4.546125987721697e-08,0.00015972790799633244,4.439869365128544,4.985911969118179e-07,1.2507700335475292e-08,5.076179972940273,2.0760358974595503,6.0895513080131596e-05,2.747008324957299,0.00015755023749697525
m,0.0008441317401027619,0.0007707851879488829,0.0007990653341592953,0.0009087025845358038,0.0009965567991518398,0.0007994461946680091,0.0007857480237338745,0.0007730360473683847,0.0008060466349277643,0.0005938642761041606
b,0.017663394115719728,0.02260266753397904,0.0016403411365462535,0.019711394858434216,0.010636103254591049,0.008733069469912034,0.007278037918145774,0.018814897486888554,0.0013347977435105435,0.009681265445400494
