,A5,B6,C7,D8,E1,E9,F10,G2,G11,H3
slope,0.0008450307677808628,0.0007762514998695105,0.0007852686189909292,0.0009082146819325786,0.001022020914634388,0.0007852964897400744,0.0007777561328384067,0.000778719522526247,0.0007955003769633639,0.0006175701031986158
intercept,0.01585602061888991,0.019271635507317343,0.004709966615880096,0.0149779532348344,0.014041711124406137,0.01277225975173143,0.008938385273916903,0.01499675992502025,0.003432000807397935,0.004248233012353344
form,logistic,logistic,logistic,logistic,logistic,logistic,logistic,logistic,logistic,logistic
amplitude,0.36699806227738974,0.3958613169969234,0.41395266612839265,0.3780754114143635,0.3314390040631138,0.4091195425619934,0.41087428733971415,0.3962588621887019,0.41083484499801526,0.43617023450893905
center,67.57456118636935,65.39977283015824,73.8852760634254,69.14446176280128,67.26226992703975,67.58823327780367,72.22577945946716,72.33459359017051,72.54446175622355,68.20200463280416
sigma,2.727528722736964,4.43307801268056,5.741402137082811,3.7984411849237256,-3.5814588880583305,6.100416505999353,5.974122754711033,4.885904364623729,5.9457433758077896,8.262384548752255
