,A8,B1,B9,C10,D2,D11,E3,F4,G5,H6
slope,0.00100899249358687,0.0009507109793998465,0.0009807545704212045,0.0008543185227921615,0.0009868989554789624,0.0009395712434633213,0.0009331944455304798,0.0008833760190734125,0.0009321068542266789,0.0009542985265129336
intercept,0.02087638286108622,0.006084428509613637,0.014607586653239215,0.00863382222063164,0.003017533068514849,0.02989137736433746,0.00867596202258273,0.023250491531397226,0.007788302930286898,0.006752306508483156
form,logistic,logistic,logistic,logistic,logistic,logistic,logistic,logistic,logistic,logistic
amplitude,0.24227152299549204,0.2611766083830398,0.26822125809935105,0.29821143661327604,0.26698221693738805,0.29085174774441364,0.2766488118725722,0.28657798694490694,0.27114670220119075,0.2593630421574242
center,79.38848203086974,86.69409963472786,81.07115565535143,85.11808704007079,95.4675325587105,75.96456972181316,88.44548271282318,83.02857270429399,91.37288986294588,90.13468118153294
sigma,5.436066131187878,2.9133176232879254,3.8193552990844437,3.9526857493039906,4.01379195673701,4.301488699135223,4.766497394794389,4.719118757715875,4.0093151210230555,4.411083237120234
